Source,Target,R,N,Weight
вигук,а,1,212,212.0
переляк,а,1,215,215.0
здивуватися,а!,1,200,200.0
байдужо,а...,1,202,202.0
страшний,а...,1,215,215.0
боляче,а-а-а,1,205,205.0
вигук,А-а-а!,1,212,212.0
гукнути,А-а-а!,1,204,204.0
дощ,А. Вівальді,1,202,202.0
зло,а земля кругла...,1,209,209.0
день,А. Камю,1,200,200.0
пощастити,а кому?,1,202,202.0
обов’язковий,а куди дінешся,1,209,209.0
пожалкувати,а мало бути краще,1,200,200.0
треба,"а, може, без того?",1,201,201.0
помислити,"а, може, вниз",1,200,200.0
треба,а навіщо,1,201,201.0
вигук,а навіщо?,1,212,212.0
запам’ятати,а нащо,1,200,200.0
дармувати,а не працювати,1,219,219.0
як,а так,1,218,218.0
по-доброму,а то зле буде,1,201,201.0
стриматися,а часом потрібно,1,203,203.0
знаний,А. Шевченко,1,212,212.0
жаль,а що зробиш,1,202,202.0
талан,а що це?,1,211,211.0
громадський,а я один такий,1,200,200.0
почутися,а як же ж,1,201,201.0
дозвіл,а якщо без нього?,1,202,202.0
диво,А-ба-ба-га-ла-ма-га,1,200,200.0
байдужий,абиякий,1,202,202.0
сьогодні,або завтра,1,202,202.0
можна,або не можна,1,199,199.0
головувати,або ні,1,200,200.0
можна,або ні,1,199,199.0
сьогодні,або ніколи,1,202,202.0
світлий,або темний,1,202,202.0
соромно,аборт,1,206,206.0
поганий,абрикос,1,213,213.0
помаранчевий,абрикос,1,228,228.0
влада,абсолютна,1,204,204.0
воля,абсолютна,1,205,205.0
незалежність,абсолютна,1,201,201.0
забуття,абсолютне,1,201,201.0
переможець,абсолютний,1,200,200.0
незалежний,абсолютно,1,210,210.0
час,абстрактне,1,212,212.0
світ,абстрактний,1,210,210.0
мислення,абстракція,1,217,217.0
новітній,абстракція,1,210,210.0
сучасний,абстракція,1,215,215.0
уява,абстракція,1,212,212.0
уявляти,абстракція,1,213,213.0
говірка,абсурд,1,211,211.0
мовний,абсурд,1,211,211.0
невірно,абсурд,1,204,204.0
обличчя,авангардне,1,221,221.0
потерпілий,аварії,1,218,218.0
потерпілий,аварійної,1,218,218.0
потерпіти,аварію,3,201,67.0
побачити,аварію,1,199,199.0
потерпати,аварію,1,209,209.0
потерпілий,аварія,26,218,8.384615384615385
потерпіти,аварія,5,201,40.2
ставатися,аварія,2,202,101.0
жах,аварія,1,204,204.0
живий,аварія,1,223,223.0
їзда,аварія,1,202,202.0
коріння,аварія,1,205,205.0
лихо,аварія,1,205,205.0
переляк,аварія,1,215,215.0
перелякатися,аварія,1,198,198.0
подіятися,аварія,1,201,201.0
потерпати,аварія,1,209,209.0
ставитися,аварія,1,217,217.0
статися,аварія,1,199,199.0
схвилюватися,аварія автомобільна,1,202,202.0
звичайно,авжеж,3,205,68.33333333333333
таланити,авжеж,1,213,213.0
далечінь,Австралія,2,201,100.5
вівця,Австралія,1,206,206.0
згадати,Австрія,1,206,206.0
пам’ятка,Австрія,1,212,212.0
пам’ять,Австрія,1,200,200.0
пам’ятка,автентичність,1,212,212.0
керувати,авто,4,208,52.0
їзда,авто,3,202,67.33333333333333
їздити,авто,2,217,108.5
брат,авто,1,204,204.0
вибирати,авто,1,200,200.0
їхати,авто,1,212,212.0
кінь,авто,1,204,204.0
мати2,авто,1,216,216.0
новий,авто,1,213,213.0
новина,авто,1,217,217.0
потрібний,авто,1,215,215.0
незручність,авто „запорожець”,1,201,201.0
міський,автобус,5,213,42.6
їхати,автобус,4,212,53.0
їздити,автобус,3,217,72.33333333333333
бігти,автобус,1,212,212.0
вимога,автобус,1,210,210.0
віддалитися,автобус,1,206,206.0
вчасний,автобус,1,201,201.0
їзда,автобус,1,202,202.0
керувати,автобус,1,208,208.0
незручний,автобус,1,212,212.0
незручність,автобус,1,201,201.0
очолити,автобус,1,203,203.0
прямувати,автобус,1,217,217.0
спрямувати,автобус,1,202,202.0
стримати,автобус,1,203,203.0
щастити,автобус,1,211,211.0
їздити,автобусом,1,217,217.0
їхати,автобусом,1,212,212.0
потерпілий,автокатастрофа,2,218,109.0
молодий,автокатастрофа,1,210,210.0
шлях,автомагістраль,1,212,212.0
голова,автомат,1,200,200.0
вражати,автомат Калашникова,1,220,220.0
керувати,автомобілем,10,208,20.8
їздити,автомобілем,2,217,108.5
їхати,автомобілем,1,212,212.0
керувати,автомобіль,17,208,12.235294117647058
новий,автомобіль,9,213,23.666666666666668
їзда,автомобіль,7,202,28.857142857142858
їздити,автомобіль,5,217,43.4
старий,автомобіль,3,210,70.0
сучасний,автомобіль,3,215,71.66666666666667
жовтий,автомобіль,2,215,107.5
коричневий,автомобіль,2,207,103.5
ладнати,автомобіль,2,207,103.5
працюючий,автомобіль,2,211,105.5
сусідній,автомобіль,2,212,106.0
батько,автомобіль,1,203,203.0
блакитний,автомобіль,1,205,205.0
вражаючий,автомобіль,1,202,202.0
газета,автомобіль,1,201,201.0
зручний,автомобіль,1,213,213.0
їхати,автомобіль,1,212,212.0
мати2,автомобіль,1,216,216.0
незручний,автомобіль,1,212,212.0
новітній,автомобіль,1,210,210.0
поганий,автомобіль,1,213,213.0
помагати,автомобіль,1,215,215.0
потрібний,автомобіль,1,215,215.0
свій,автомобіль,1,222,222.0
стриматися,автомобіль,1,203,203.0
темний,автомобіль,1,212,212.0
цікавити,автомобіль,1,217,217.0
чинити,автомобіль,1,212,212.0
чинний,автомобіль,1,210,210.0
чільний,автомобіль,1,210,210.0
чорний,автомобіль,1,218,218.0
яскравий,автомобіль,1,217,217.0
назва,автомобіля,1,216,216.0
керівництво,автономія,1,216,216.0
незалежний,автономний,1,210,210.0
знаний,автор,2,212,106.0
незалежний,автор,1,210,210.0
сучасний,автор,1,215,215.0
верба,автор книги,1,202,202.0
знаний,авторитет,4,212,53.0
вагомий,авторитет,2,203,101.5
влада,авторитет,2,204,102.0
владний,авторитет,2,213,106.5
владно,авторитет,1,204,204.0
втрачати,авторитет,1,202,202.0
заробити,авторитет,1,202,202.0
наказати,авторитет,1,199,199.0
самостійність,авторитет,1,204,204.0
чоловічий,авторитет,1,213,213.0
замовчати,авторитет іншого,1,200,200.0
знаний,авторитетний,1,212,212.0
владно,авторитетно,1,204,204.0
втрата,авторитету,1,203,203.0
називатися,автором твору,1,211,211.0
промова,авторська,1,210,210.0
шлях,автострада,1,212,212.0
жаба,ага,3,203,67.66666666666667
вчинок,ага,1,201,201.0
справді,ага,1,203,203.0
згадати,ага!,1,206,206.0
міркувати,ага!,1,215,215.0
жаба,ага (це вид жаби),1,203,203.0
пообіцяти,"ага, щас",1,201,201.0
зобов’язаний,агент,1,213,213.0
вибори,агітація,3,212,70.66666666666667
вівця,Агнець,1,206,206.0
вигукнути,агов,1,203,203.0
гукати,агов,1,202,202.0
гукнути,агов,1,204,204.0
кликати,агов,1,213,213.0
кликати,Агов!,1,213,213.0
небесний,агонія,1,214,214.0
старіти,агонія,1,212,212.0
сірість,агресивна,1,217,217.0
ворожий,агресивний,1,217,217.0
стриманий,агресивний,1,212,212.0
боязко,агресія,1,203,203.0
відмова,агресія,1,203,203.0
гнів,агресія,1,201,201.0
дія,агресія,1,202,202.0
заволодіти,агресія,1,206,206.0
злість,агресія,1,204,204.0
наказ,агресія,1,213,213.0
ненавидіти,агресія,1,215,215.0
схвилювання,агресія,1,192,192.0
їстівний,аґрус,1,213,213.0
грішити,ад,1,200,200.0
грішний,ад,1,218,218.0
забуття,ад,1,201,201.0
гріх,Адам,3,201,67.0
грішний,Адам,2,218,109.0
згрішити,Адам і Єва,1,204,204.0
гріх,Адама,2,201,100.5
родина,Адамсів,1,211,211.0
звикати,адаптація,3,213,71.0
звикнути,адаптація,1,202,202.0
звикнути,адаптуватись,1,202,202.0
звикати,адаптуватися,1,213,213.0
ладнати,адвокат,1,207,207.0
правдивий,адвокат,1,210,210.0
друг,адекватність,1,201,201.0
ставитися,адекватно,2,217,108.5
мислити,адекватно,1,213,213.0
подіяти,адміністративно,1,199,199.0
керівництво,адміністрація,2,216,108.0
гнів,адреналін,1,201,201.0
жахнутися,адреналін,1,199,199.0
збентеження,адреналін,1,202,202.0
здивований,адреналін,1,214,214.0
молодь,адреналін,1,204,204.0
новина,адреналін,1,217,217.0
переляк,адреналін,1,215,215.0
перелякатися,адреналін,1,198,198.0
перемагати,адреналін,1,214,214.0
побоюватися,адреналін,1,414,414.0
схвилювання,адреналін,1,192,192.0
схвилюватися,адреналін,1,202,202.0
хвилювати,адреналін,1,213,213.0
взнати,адрес,1,206,206.0
запитати,адресат,1,199,199.0
поцікавитися,адресою,1,204,204.0
взнати,адресу,1,206,206.0
страшно,аж жах,1,200,200.0
цікаво,аж надто,1,202,202.0
добре,аж надто добре,1,203,203.0
щастити,азарт,2,211,105.5
бажання,азарт,1,204,204.0
вболівати,азарт,1,204,204.0
злитися,азарт,1,213,213.0
побігти,азарт,1,198,198.0
чоловічий,азарт,1,213,213.0
вболівати,азартний,1,204,204.0
вигук,ай,1,212,212.0
голосно,ай,1,205,205.0
здивування,ай,1,202,202.0
вигукувати,Ай!,1,201,201.0
боляче,ай-ай-ай,1,205,205.0
зневіритися,Ай ну вас!,1,414,414.0
переляк,"Ай, ой,ох",1,215,215.0
схвилювання,Айвазовський,1,192,192.0
хмара,Айвазовський,1,215,215.0
говірка,айно,1,211,211.0
уявляти,Айнштайн,1,213,213.0
розумний,академік,2,211,105.5
вважатися,академіком,1,212,212.0
бігом,академія,1,205,205.0
вдень,академія,1,203,203.0
звикати,акліматизовуватися,1,213,213.0
народний,акордеон,1,210,210.0
лад,акорди,1,203,203.0
лунати,акорди,1,212,212.0
брат,акробат,1,204,204.0
обов’язковий,аксіома,1,209,209.0
дія,акт,6,202,33.666666666666664
чинний,акт,3,210,70.0
державний,акт,2,202,101.0
відповідний,акт,1,201,201.0
громадський,акт,1,200,200.0
дармовий,акт,1,202,202.0
дозвіл,акт,1,202,202.0
одруження,акт,1,218,218.0
чільний,акт,1,210,210.0
жінка,активіст,1,201,201.0
зобов’язання,активіст,1,203,203.0
дія,активісти,1,202,202.0
дія,активна,2,202,101.0
молода,активна,1,215,215.0
молодь,активна,1,204,204.0
мислення,активне,1,217,217.0
головний,активний,1,202,202.0
голосний,активний,1,202,202.0
діяти,активний,1,199,199.0
хода,активний спосіб життя,1,193,193.0
дія,активність,3,202,67.33333333333333
вдень,активність,1,203,203.0
вечір,активність,1,211,211.0
вчинок,активність,1,201,201.0
день,активність,1,200,200.0
діяти,активність,1,199,199.0
молодь,активність,1,204,204.0
діяти,активно,2,199,99.5
байдуже,активно,1,207,207.0
знаний,актор,3,212,70.66666666666667
незалежний,актор,1,210,210.0
відповідь,актуальна,1,210,210.0
питання,актуальне,1,215,215.0
повір’я,актуальне,1,212,212.0
вчасний,актуальний,1,201,201.0
самостійність,актуальність,1,204,204.0
лад,акуратність,1,203,203.0
діяти,акуратно,1,199,199.0
питати,акуратно,1,210,210.0
робити,акуратно,1,212,212.0
зручний,акуратно зроблений,1,213,213.0
говірка,акцент,2,211,105.5
розмова,акцент,1,211,211.0
увага,акцент,1,208,208.0
дія,акція,1,202,202.0
весело,алгебра,1,203,203.0
знання,алгебра,1,217,217.0
зрозуміти,алгебра,1,201,201.0
наблизитися,алгебра,1,207,207.0
переляк,алгебра,1,215,215.0
цікаво,алгоритм,1,202,202.0
дивно,але,1,202,202.0
розгніватися,але,1,197,197.0
бідний,але багатий,1,210,210.0
близько,але важко,1,203,203.0
мовчазний,але веселий,1,215,215.0
розумний,але дурний,1,211,211.0
забути,але згадати,1,204,204.0
бідно,але зі смаком,1,204,204.0
дивно,але інколи получається,1,202,202.0
боязко,але йду,1,203,203.0
вартувати,але не в армії,1,214,214.0
вірний,але не в коханні,1,214,214.0
дозволити,але не все,1,202,202.0
знати,але не все,1,215,215.0
стриманий,але не до дівчат,1,212,212.0
бідний,але не довго,1,210,210.0
мислити,але не довго,1,213,213.0
схвильований,але не довго,1,214,214.0
тужливий,але не довго,1,212,212.0
заздрісний,але не друзі,1,213,213.0
розумний,але не дуже,1,211,211.0
зобов’язувати,але не нав’язувати,1,213,213.0
турбувати,але не надокучати,1,213,213.0
дозволити,але не постійно,1,202,202.0
їстівний,але не смачний,1,213,213.0
соромитися,але не себе,1,214,214.0
старіти,але не скоро,1,212,212.0
треба,але не хочеться,1,201,201.0
розсердитися,але потім пройде,1,202,202.0
порадити,але правильно,1,200,200.0
страшно,але приємно,1,200,200.0
важко,але треба робити,1,203,203.0
новий,"але це не значить, що добрий",1,213,213.0
дивно,але це правда,1,202,202.0
багатий,але щедрий,1,213,213.0
страшно,Алексин (пісня „Страшная”),1,200,200.0
тополя,алергія,1,212,212.0
зобов’язувати,аліменти,1,213,213.0
ім’я,Аліна,1,221,221.0
