Source,Target,SourceWord,TargetWord,R,N,Weight,Label
591,842,потерпілий,аварія,26,218,8.384615384615385,26 / 218
592,842,потерпіти,аварія,5,201,40.2,5 / 201
725,842,ставатися,аварія,2,202,101.0,2 / 202
249,842,жах,аварія,1,204,204.0,1 / 204
254,842,живий,аварія,1,223,223.0,1 / 223
369,842,їзда,аварія,1,202,202.0,1 / 202
386,842,коріння,аварія,1,205,205.0,1 / 205
399,842,лихо,аварія,1,205,205.0,1 / 205
513,842,переляк,аварія,1,215,215.0,1 / 215
516,842,перелякатися,аварія,1,198,198.0,1 / 198
552,842,подіятися,аварія,1,201,201.0,1 / 201
590,842,потерпати,аварія,1,209,209.0,1 / 209
726,842,ставитися,аварія,1,217,217.0,1 / 217
733,842,статися,аварія,1,199,199.0,1 / 199
381,843,керувати,авто,4,208,52.0,4 / 208
369,843,їзда,авто,3,202,67.33333333333333,3 / 202
370,843,їздити,авто,2,217,108.5,2 / 217
44,843,брат,авто,1,204,204.0,1 / 204
84,843,вибирати,авто,1,200,200.0,1 / 200
374,843,їхати,авто,1,212,212.0,1 / 212
382,843,кінь,авто,1,204,204.0,1 / 204
414,843,мати2,авто,1,216,216.0,1 / 216
482,843,новий,авто,1,213,213.0,1 / 213
483,843,новина,авто,1,217,217.0,1 / 217
595,843,потрібний,авто,1,215,215.0,1 / 215
424,844,міський,автобус,5,213,42.6,5 / 213
374,844,їхати,автобус,4,212,53.0,4 / 212
370,844,їздити,автобус,3,217,72.33333333333333,3 / 217
22,844,бігти,автобус,1,212,212.0,1 / 212
92,844,вимога,автобус,1,210,210.0,1 / 210
101,844,віддалитися,автобус,1,206,206.0,1 / 206
150,844,вчасний,автобус,1,201,201.0,1 / 201
369,844,їзда,автобус,1,202,202.0,1 / 202
381,844,керувати,автобус,1,208,208.0,1 / 208
470,844,незручний,автобус,1,212,212.0,1 / 212
471,844,незручність,автобус,1,201,201.0,1 / 201
506,844,очолити,автобус,1,203,203.0,1 / 203
623,844,прямувати,автобус,1,217,217.0,1 / 217
723,844,спрямувати,автобус,1,202,202.0,1 / 202
741,844,стримати,автобус,1,203,203.0,1 / 203
831,844,щастити,автобус,1,211,211.0,1 / 211
381,845,керувати,автомобілем,10,208,20.8,10 / 208
370,845,їздити,автомобілем,2,217,108.5,2 / 217
374,845,їхати,автомобілем,1,212,212.0,1 / 212
381,846,керувати,автомобіль,17,208,12.235294117647058,17 / 208
482,846,новий,автомобіль,9,213,23.666666666666668,9 / 213
369,846,їзда,автомобіль,7,202,28.857142857142858,7 / 202
370,846,їздити,автомобіль,5,217,43.4,5 / 217
729,846,старий,автомобіль,3,210,70.0,3 / 210
750,846,сучасний,автомобіль,3,215,71.66666666666667,3 / 215
261,846,жовтий,автомобіль,2,215,107.5,2 / 215
385,846,коричневий,автомобіль,2,207,103.5,2 / 207
396,846,ладнати,автомобіль,2,207,103.5,2 / 207
612,846,працюючий,автомобіль,2,211,105.5,2 / 211
749,846,сусідній,автомобіль,2,212,106.0,2 / 212
12,846,батько,автомобіль,1,203,203.0,1 / 203
31,846,блакитний,автомобіль,1,205,205.0,1 / 205
142,846,вражаючий,автомобіль,1,202,202.0,1 / 202
157,846,газета,автомобіль,1,201,201.0,1 / 201
363,846,зручний,автомобіль,1,213,213.0,1 / 213
374,846,їхати,автомобіль,1,212,212.0,1 / 212
414,846,мати2,автомобіль,1,216,216.0,1 / 216
470,846,незручний,автомобіль,1,212,212.0,1 / 212
484,846,новітній,автомобіль,1,210,210.0,1 / 210
546,846,поганий,автомобіль,1,213,213.0,1 / 213
569,846,помагати,автомобіль,1,215,215.0,1 / 215
595,846,потрібний,автомобіль,1,215,215.0,1 / 215
661,846,свій,автомобіль,1,222,222.0,1 / 222
742,846,стриматися,автомобіль,1,203,203.0,1 / 203
761,846,темний,автомобіль,1,212,212.0,1 / 212
807,846,цікавити,автомобіль,1,217,217.0,1 / 217
815,846,чинити,автомобіль,1,212,212.0,1 / 212
816,846,чинний,автомобіль,1,210,210.0,1 / 210
817,846,чільний,автомобіль,1,210,210.0,1 / 210
821,846,чорний,автомобіль,1,218,218.0,1 / 218
839,846,яскравий,автомобіль,1,217,217.0,1 / 217
347,847,знаний,авторитет,4,212,53.0,4 / 212
54,847,вагомий,авторитет,2,203,101.5,2 / 203
127,847,влада,авторитет,2,204,102.0,2 / 204
128,847,владний,авторитет,2,213,106.5,2 / 213
129,847,владно,авторитет,1,204,204.0,1 / 204
149,847,втрачати,авторитет,1,202,202.0,1 / 202
286,847,заробити,авторитет,1,202,202.0,1 / 202
457,847,наказати,авторитет,1,199,199.0,1 / 199
656,847,самостійність,авторитет,1,204,204.0,1 / 204
820,847,чоловічий,авторитет,1,213,213.0,1 / 213
40,848,боязко,агресія,1,203,203.0,1 / 203
103,848,відмова,агресія,1,203,203.0,1 / 203
163,848,гнів,агресія,1,201,201.0,1 / 201
217,848,дія,агресія,1,202,202.0,1 / 202
271,848,заволодіти,агресія,1,206,206.0,1 / 206
