Id,Name,Label
0,багатий,багатий СТ [114 / 213] РЕ [21 / 36]
1,багатіти,багатіти СТ [86 / 205] РЕ [4 / 13]
2,багато,багато СТ [75 / 204] РЕ [81 / 204]
3,багатство,багатство СТ [70 / 203] РЕ [34 / 94]
4,бажаний,бажаний СТ [102 / 202] РЕ [8 / 25]
5,бажання,бажання СТ [117 / 204] РЕ [57 / 179]
6,бажано,бажано СТ [119 / 205]
7,бажати,бажати СТ [87 / 208] РЕ [18 / 42]
8,байдуже,байдуже СТ [126 / 207] РЕ [9 / 13]
9,байдужий,байдужий СТ [120 / 202] РЕ [12 / 12]
10,байдужість,байдужість СТ [140 / 202] РЕ [30 / 40]
11,байдужо,байдужо СТ [100 / 202]
12,батько,батько СТ [94 / 203] РЕ [47 / 192]
13,бачення,бачення СТ [88 / 201] РЕ [12 / 21]
14,бачити,бачити СТ [95 / 203] РЕ [43 / 135]
15,бачитися,бачитися СТ [91 / 202]
16,безталанний,безталанний СТ [98 / 202]
17,бентежити,бентежити СТ [110 / 202]
18,бентежитися,бентежитися СТ [129 / 199]
19,біг,біг СТ [90 / 202] РЕ [14 / 26]
20,бігати,бігати СТ [103 / 203] РЕ [6 / 11]
21,бігом,бігом СТ [92 / 205]
22,бігти,бігти СТ [104 / 212] РЕ [17 / 27]
23,бідний,бідний СТ [103 / 210] РЕ [20 / 36]
24,бідність,бідність СТ [126 / 204] РЕ [24 / 44]
25,бідніти,бідніти СТ [129 / 202] РЕ [3 / 10]
26,бідно,бідно СТ [81 / 204]
27,білий,білий СТ [77 / 213] РЕ [48 / 152]
28,білити,білити СТ [60 / 202]
29,біліти,біліти СТ [119 / 215] РЕ [8 / 26]
30,біль,біль СТ [109 / 203] РЕ [117 / 603]
31,блакитний,блакитний СТ [55 / 205] РЕ [8 / 16]
32,блакить,блакить СТ [62 / 202] РЕ [5 / 16]
33,близький,близький СТ [52 / 203] РЕ [18 / 51]
34,близькість,близькість СТ [113 / 203] РЕ [13 / 17]
35,близько,близько СТ [107 / 203] РЕ [20 / 69]
36,боліти,боліти СТ [71 / 203] РЕ [7 / 7]
37,боляче,боляче СТ [115 / 205] РЕ [14 / 19]
38,боягуз,боягуз СТ [119 / 204] РЕ [20 / 33]
39,боягузливий,боягузливий СТ [79 / 203]
40,боязко,боязко СТ [111 / 203] РЕ [11 / 13]
41,боятися,боятися СТ [127 / 213] РЕ [38 / 126]
42,брак,брак СТ [109 / 207] РЕ [8 / 12]
43,бракувати,бракувати СТ [103 / 205]
44,брат,брат СТ [89 / 204] РЕ [47 / 154]
45,брати,брати СТ [98 / 202] РЕ [11 / 18]
46,братися,братися СТ [83 / 213]
47,брехати,брехати СТ [105 / 204] РЕ [16 / 38]
48,брехня,брехня СТ [117 / 202] РЕ [68 / 215]
49,брехун,брехун СТ [129 / 210] РЕ [9 / 13]
50,бувати,бувати СТ [115 / 202]
51,бути,бути СТ [102 / 213] РЕ [62 / 96]
52,буття,буття СТ [87 / 203] РЕ [19 / 25]
53,вага,вага СТ [121 / 203] РЕ [13 / 50]
54,вагомий,вагомий СТ [53 / 203] РЕ [5 / 18]
55,важити,важити СТ [105 / 213]
56,важкий,важкий СТ [86 / 213] РЕ [10 / 17]
57,важко,важко СТ [103 / 203] РЕ [70 / 98]
58,важливий,важливий СТ [100 / 203] РЕ [15 / 45]
59,важливість,важливість СТ [133 / 203] РЕ [6 / 12]
60,важливо,важливо СТ [114 / 202] РЕ [18 / 20]
61,вартий,вартий СТ [63 / 202]
62,вартість,вартість СТ [81 / 205]
63,варто,варто СТ [112 / 203] РЕ [12 / 13]
64,вартувати,вартувати СТ [120 / 214]
65,вболівати,вболівати СТ [77 / 204]
66,вважати,вважати СТ [106 / 201] РЕ [4 / 9]
67,вважатися,вважатися СТ [146 / 212]
68,ввечері,ввечері СТ [97 / 206] РЕ [17 / 46]
69,вгадати,вгадати СТ [92 / 205] РЕ [7 / 13]
70,вдень,вдень СТ [74 / 203] РЕ [9 / 31]
71,вдома,вдома СТ [104 / 212] РЕ [39 / 129]
72,верба,верба СТ [88 / 202] РЕ [8 / 17]
73,веселий,веселий СТ [99 / 212] РЕ [41 / 149]
74,веселити,веселити СТ [87 / 201]
75,веселитися,веселитися СТ [110 / 210] РЕ [11 / 19]
76,весело,весело СТ [104 / 203] РЕ [71 / 203]
77,веселощі,веселощі СТ [89 / 204] РЕ [14 / 22]
78,вечір,вечір СТ [107 / 211] РЕ [70 / 225]
79,вечірній,вечірній СТ [89 / 200] РЕ [4 / 7]
80,вечоріти,вечоріти СТ [88 / 200]
81,взнати,взнати СТ [115 / 206] РЕ [6 / 9]
82,взяти,взяти СТ [113 / 202] РЕ [17 / 36]
83,взятися,взятися СТ [66 / 200]
84,вибирати,вибирати СТ [114 / 200]
85,вибір,вибір СТ [141 / 203] РЕ [35 / 58]
86,вибори,вибори СТ [120 / 212] РЕ [6 / 10]
87,вибрати,вибрати СТ [140 / 203]
88,вигук,вигук СТ [111 / 212] РЕ [17 / 32]
89,вигукнути,вигукнути СТ [94 / 203] РЕ [10 / 23]
90,вигукувати,вигукувати СТ [90 / 201]
91,вимагати,вимагати СТ [107 / 202] РЕ [8 / 12]
92,вимога,вимога СТ [139 / 210] РЕ [10 / 16]
93,вимогливий,вимогливий СТ [79 / 210]
94,вимогливість,вимогливість СТ [126 / 202]
95,витриманий,витриманий СТ [100 / 202]
96,витримано,витримано СТ [120 / 203]
97,витримати,витримати СТ [104 / 203]
98,витримка,витримка СТ [106 / 203] РЕ [11 / 20]
99,витримувати,витримувати СТ [89 / 210]
100,вівця,вівця СТ [97 / 206] РЕ [4 / 10]
101,віддалитися,віддалитися СТ [123 / 206]
102,віддалятися,віддалятися СТ [123 / 202]
103,відмова,відмова СТ [132 / 203] РЕ [7 / 16]
104,відмовити,відмовити СТ [132 / 202] РЕ [8 / 13]
105,відмовитися,відмовитися СТ [130 / 200]
106,відмовляти,відмовляти СТ [134 / 203]
107,відмовлятися,відмовлятися СТ [144 / 200]
108,відповідати,відповідати СТ [98 / 200] РЕ [19 / 24]
109,відповідний,відповідний СТ [109 / 201]
110,відповідь,відповідь СТ [94 / 210] РЕ [34 / 179]
111,відповісти,відповісти СТ [88 / 205] РЕ [44 / 120]
112,відчувати,відчувати СТ [94 / 202] РЕ [26 / 41]
113,відчуватися,відчуватися СТ [112 / 213]
114,відчути,відчути СТ [71 / 205] РЕ [29 / 39]
115,відчутний,відчутний СТ [95 / 212]
116,відчуття,відчуття СТ [118 / 209] РЕ [53 / 92]
117,віл,віл СТ [85 / 205] РЕ [10 / 17]
118,вільний,вільний СТ [97 / 200] РЕ [22 / 70]
119,вільно,вільно СТ [85 / 205] РЕ [14 / 20]
120,віра,віра СТ [102 / 206] РЕ [38 / 69]
121,вірити,вірити СТ [110 / 201] РЕ [21 / 29]
122,віритися,віритися СТ [134 / 208]
123,вірний,вірний СТ [51 / 214] РЕ [20 / 70]
124,вірність,вірність СТ [112 / 211] РЕ [28 / 71]
125,вірно,вірно СТ [106 / 205] РЕ [21 / 30]
126,вітер,вітер СТ [97 / 205] РЕ [34 / 59]
127,влада,влада СТ [143 / 204] РЕ [54 / 197]
128,владний,владний СТ [117 / 213]
129,владно,владно СТ [126 / 204]
130,вночі,вночі СТ [71 / 202] РЕ [24 / 99]
131,вовк,вовк СТ [73 / 207] РЕ [28 / 104]
132,вогонь,вогонь СТ [79 / 228] РЕ [36 / 60]
133,вода,вода СТ [86 / 234] РЕ [58 / 119]
134,володіння,володіння СТ [112 / 204]
135,володіти,володіти СТ [105 / 201] РЕ [16 / 46]
136,воля,воля СТ [123 / 205] РЕ [76 / 229]
137,ворог,ворог СТ [107 / 202] РЕ [55 / 190]
138,ворогувати,ворогувати СТ [112 / 202]
139,вороже,вороже СТ [95 / 204]
140,ворожий,ворожий СТ [85 / 217]
141,вражати,вражати СТ [145 / 220]
142,вражаючий,вражаючий СТ [112 / 202] РЕ [4 / 7]
143,вражений,вражений СТ [137 / 207] РЕ [6 / 12]
144,враження,враження СТ [132 / 203] РЕ [15 / 21]
